Table Names,State,Parameters,Type,April - Total ((A+B) or (C+D)),May - Total ((A+B) or (C+D)),June - Total ((A+B) or (C+D)),July - Total ((A+B) or (C+D)),August - Total ((A+B) or (C+D)),September - Total ((A+B) or (C+D)),October - Total ((A+B) or (C+D)),November - Total ((A+B) or (C+D)),December - Total ((A+B) or (C+D)),January - Total ((A+B) or (C+D)),February - Total ((A+B) or (C+D)),March - Total ((A+B) or (C+D)),Total - Total ((A+B) or (C+D)),Total - Public (A),Total - Private (B),Total - Urban (C),Total - Rural (D)
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Measles Rubella (MR),2. Stocks Received,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Measles Rubella (MR),3. Unusable Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Measles Rubella (MR),4. Stock Distributed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,A & N Islands,Measles Rubella (MR),5. Total Stock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,72172,72586,77163,83481,72907,73735,67960,68344,65939,63768,69520,67680,855255,808480,46775,199048,656207
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation (9-11months) - Measles 1st dose,TOTAL,1465,2084,2107,1931,1775,1652,1643,1403,1633,1552,1457,1399,20101,19014,1087,4301,15800
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,4783,4565,4616,5042,3720,4408,4073,4406,4536,3854,4254,4064,52321,52044,277,18535,33786
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation - Measles-1st dose,TOTAL,1054,861,806,709,630,609,406,542,550,523,511,455,7656,7656,0,2039,5617
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,63708,63502,63419,69843,60229,61297,58974,63418,64408,57705,61104,60285,747892,734362,13530,145643,602249
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,2660,2565,2999,2700,2599,2995,2471,2624,2325,2456,2167,2394,30955,30955,0,10200,20755
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,587,479,393,421,444,437,422,588,483,422,438,485,5599,5599,0,1975,3624
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Childhood Diseases - Pneumonia,TOTAL,564,461,455,509,740,929,1061,942,773,852,655,866,8807,8789,18,1238,7569
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Childhood Diseases - Asthma,TOTAL,540,564,515,840,625,648,736,841,928,884,779,759,8659,8656,3,1427,7232
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Childhood Diseases - Measles,TOTAL,6,8,0,7,2,3,9,1,1,0,0,258,295,295,0,0,295
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Childhood Diseases - Diarrhoea,TOTAL,4252,4243,4648,5213,4728,4581,4003,3698,3750,4030,3911,3685,50742,50690,52,9732,41010
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,1198,984,1259,1267,1108,1076,851,894,839,924,1038,964,12402,12397,5,2593,9809
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,8606,8313,7324,7026,7009,8301,8972,8854,9664,11316,10886,12279,108550,108550,0,21226,87324
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,26,26,27,36,21,33,21,29,29,21,26,32,327,325,2,6,321
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,1,0,2,2,5,0,2,0,0,0,0,2,14,14,0,0,14
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,1,0,0,0,0,11,0,0,0,12,11,35,35,0,0,35
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,11,4,4,7,8,11,12,9,11,7,12,14,110,110,0,1,109
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,4,0,1,1,0,1,0,1,1,2,1,2,14,13,1,1,13
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,9,3,1,1,1,2,6,1,2,1,0,1,28,27,1,1,27
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,20,17,19,17,18,14,8,5,10,6,8,11,153,153,0,1,152
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Vaccine - Measles,1. Balance From Previous Month,0,0,0,0,0,0,0,0,0,6000,0,0,6000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Vaccine - Measles,2. Stocks Received,0,0,0,0,0,0,0,0,0,12000,0,0,12000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Vaccine - Measles,4. Stock Distributed,0,0,0,0,0,0,0,0,0,2900,0,0,2900,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Vaccine - Measles,5. Total Stock,0,0,0,0,0,0,0,0,0,15100,0,0,15100,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Measles Rubella (MR),1. Balance From Previous Month,196680,162890,188090,132740,188060,118950,137880,270690,123340,110380,94830,50690,1775220,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Measles Rubella (MR),2. Stocks Received,161000,247500,234000,288000,236000,238000,371000,160500,191000,180000,147500,315500,2770000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Measles Rubella (MR),3. Unusable Stock,11120,61070,88680,90410,86670,47400,113790,96480,93900,89080,60940,118500,958040,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Measles Rubella (MR),4. Stock Distributed,188250,222300,289350,259630,242280,227300,238190,269720,223960,175630,191880,247490,2775980,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Andhra Pradesh,Measles Rubella (MR),5. Total Stock,158310,168920,104890,211840,216090,144700,330370,195800,246470,271700,246320,328480,2623890,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1334,1511,1550,1846,1442,1532,1926,1625,1469,1391,1159,1296,18081,17619,462,977,17104
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation (9-11months) - Measles 1st dose,TOTAL,249,262,229,166,92,58,50,65,69,85,77,102,1504,1504,0,31,1473
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,241,185,255,280,186,167,341,281,172,95,188,188,2579,2117,462,162,2417
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation - Measles-1st dose,TOTAL,65,93,44,28,29,13,16,37,34,16,15,27,417,417,NA,0,417
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,1003,1350,1191,1274,940,1030,1377,1277,1153,1193,1124,1494,14406,14107,299,616,13790
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,326,238,210,145,58,54,66,103,64,64,94,43,1465,1465,NA,21,1444
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,1,9,5,2,2,0,1,3,3,7,3,0,36,36,NA,0,36
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Childhood Diseases - Pneumonia,TOTAL,16,26,37,25,15,20,13,17,8,23,25,29,254,254,0,0,254
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Childhood Diseases - Asthma,TOTAL,5,6,5,10,5,14,7,3,2,6,10,11,84,84,0,0,84
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Childhood Diseases - Measles,TOTAL,2,2,3,5,4,2,8,7,4,0,3,4,44,44,0,0,44
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Childhood Diseases - Diarrhoea,TOTAL,798,957,854,799,698,644,545,512,579,621,695,823,8525,8434,91,160,8365
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,109,118,89,79,66,126,76,41,59,76,76,107,1022,939,83,107,915
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,80,83,60,119,141,71,98,92,114,106,64,87,1115,1046,69,29,1086
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,1,1,1,1,1,0,0,1,0,2,0,0,8,7,1,0,8
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,1,0,0,1,1,0,0,0,0,3,0,0,6,6,0,0,6
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,0,0,1,0,0,2,1,0,0,0,0,4,4,0,0,4
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,0,0,1,0,0,0,1,0,0,1,0,3,3,0,0,3
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Vaccine - Measles,1. Balance From Previous Month,3859,3224,1690,2257,2385,2112,2168,2066,748,2278,2418,6,25211,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Vaccine - Measles,2. Stocks Received,21,1021,123,1002,7,504,8,265,1012,1010,8,15,4996,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Vaccine - Measles,3. Unusable Stock,33,195,162,176,0,0,0,500,0,0,500,0,1566,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Vaccine - Measles,4. Stock Distributed,1455,1211,865,1334,280,220,122,574,410,870,860,15,8216,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Vaccine - Measles,5. Total Stock,2392,2839,786,1749,2112,2396,2054,1257,1350,2418,1066,6,20425,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Measles Rubella (MR),1. Balance From Previous Month,11122,12154,7036,11051,11321,9654,11290,9744,10023,9438,7601,7590,118024,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Measles Rubella (MR),2. Stocks Received,5604,1206,2508,5555,3020,5504,7009,7105,7510,3520,4720,1522,54783,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Measles Rubella (MR),3. Unusable Stock,28,37,1,13,26,9,68,12,55,65,93,97,504,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Measles Rubella (MR),4. Stock Distributed,3090,3953,3702,4727,4356,5122,7430,7577,5475,4531,4261,3404,57628,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Arunachal Pradesh,Measles Rubella (MR),5. Total Stock,12634,9986,5840,11898,10015,10046,10889,9262,12038,8487,7850,6538,115483,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,25124,28163,53815,50684,23866,28862,62494,75532,56726,48598,47195,68960,570019,547346,22673,38545,531474
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation (9-11months) - Measles 1st dose,TOTAL,8025,4715,5161,4167,2194,1181,1807,1484,1208,1075,344,195,31556,30730,826,839,30717
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,1422,1360,2677,2633,5458,2223,3058,4425,5454,1991,1882,2642,35225,34492,733,10305,24920
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation - Measles-1st dose,TOTAL,580,224,463,287,174,145,91,149,94,139,204,114,2664,2610,54,24,2640
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,27283,30025,47109,47486,20492,17504,35252,49764,45226,39006,41635,59708,460490,445509,14981,25271,435219
2018-2019.xlsm/hmis-report-2018-19,Assam,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,10492,5662,5327,4268,4856,2718,1560,1908,1597,1588,791,1125,41892,40958,934,1033,40859
2018-2019.xlsm/hmis-report-2018-19,Assam,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,893,910,260,191,204,102,162,415,145,229,329,386,4226,2746,1480,1803,2423
2018-2019.xlsm/hmis-report-2018-19,Assam,Childhood Diseases - Pneumonia,TOTAL,721,660,521,612,712,1273,878,709,662,647,602,933,8930,6977,1953,529,8401
2018-2019.xlsm/hmis-report-2018-19,Assam,Childhood Diseases - Asthma,TOTAL,236,193,197,273,465,487,441,386,325,305,335,353,3996,1914,2082,241,3755
2018-2019.xlsm/hmis-report-2018-19,Assam,Childhood Diseases - Measles,TOTAL,124,201,186,177,138,124,89,66,42,45,68,143,1403,1374,29,10,1393
2018-2019.xlsm/hmis-report-2018-19,Assam,Childhood Diseases - Diarrhoea,TOTAL,6807,7967,12692,7520,6336,6465,5643,5431,5330,5604,5850,6580,82225,77378,4847,3895,78330
2018-2019.xlsm/hmis-report-2018-19,Assam,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,1046,963,1253,975,777,861,895,609,746,1151,1173,1167,11616,9801,1815,674,10942
2018-2019.xlsm/hmis-report-2018-19,Assam,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,1962,1776,1558,1886,1961,2063,2579,1963,1851,2476,1960,3057,25092,18123,6969,2160,22932
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,56,46,46,48,41,64,62,81,73,63,56,56,692,676,16,8,684
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,2,5,3,2,2,2,0,2,4,1,4,4,31,31,0,0,31
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,0,0,2,3,0,2,1,0,0,2,2,12,11,1,0,12
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,10,3,5,7,9,14,3,10,6,10,5,19,101,99,2,0,101
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,2,1,2,0,4,0,1,5,1,3,3,22,22,0,0,22
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,1,0,0,0,1,1,4,1,0,0,0,8,8,0,0,8
2018-2019.xlsm/hmis-report-2018-19,Assam,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,12,6,10,9,7,12,8,8,7,3,2,7,91,87,4,1,90
2018-2019.xlsm/hmis-report-2018-19,Assam,Vaccine - Measles,1. Balance From Previous Month,9347,55500,8980,21550,8090,8090,0,0,0,27320,23860,22430,185167,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Vaccine - Measles,2. Stocks Received,0,82000,36000,10000,10000,10000,0,0,19000,0,0,12000,179000,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Vaccine - Measles,3. Unusable Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Vaccine - Measles,4. Stock Distributed,2797,59120,26430,20360,13000,15640,0,0,16800,1260,1430,3610,160447,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Vaccine - Measles,5. Total Stock,6550,78380,18550,11190,5090,2450,0,0,2200,26060,22430,30820,203720,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Measles Rubella (MR),1. Balance From Previous Month,719032,1278961,856380,956209,824963,683050,350420,204410,263172,237859,127225,152070,6653751,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Measles Rubella (MR),2. Stocks Received,522650,255713,247613,372150,418303,222650,67200,175200,45467,19300,111950,171820,2630016,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Measles Rubella (MR),3. Unusable Stock,0,0,3900,0,0,0,0,0,0,0,0,0,3900,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
2018-2019.xlsm/hmis-report-2018-19,Assam,Measles Rubella (MR),4. Stock Distributed,202771,559310,127934,414936,650516,543580,168310,144918,57860,38684,66905,172478,3148202,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated,Data for this item can not be cumulated
